Task ID,Type,Name,Status,Project,Context,Start Date,Due Date,Completion Date,Duration,Flagged,Notes,Tags
1,Project,Probability and Statistics,active,,,,2020-01-01 01:00:00 +0000,,12000m,0,,
1.1,Action,STATS 311,,Probability and Statistics,,,,,1800m,0,"Total time 30h

High level objective

1. Organize EE377 into lecture notes on notability

2. Review these notes to ensure memory if its content
",
1.1.1,Action,Classes,,Probability and Statistics,,,,2019-04-01 07:00:00 +0000,,0,Actual time 11h30m,
1.1.1.1,Action,Organize notes for interactive analysis,,Probability and Statistics,,,,2019-03-21 00:14:28 +0000,90m,0,,
1.1.1.2,Action,Organize notes for final lectures,,Probability and Statistics,,,2019-03-18 00:00:00 +0000,2019-03-18 22:48:27 +0000,60m,0,,
1.1.1.3,Action,Organize notes for Mar 7 class,,Probability and Statistics,,,,2019-03-11 01:23:04 +0000,30m,0,,
1.1.1.4,Action,Organize notes for Mar 5 class,,Probability and Statistics,,,2019-03-11 06:00:00 +0000,2019-03-11 04:47:35 +0000,90m,0,,
1.1.1.5,Action,Class Mar 14,,Probability and Statistics,,,2019-03-15 00:00:00 +0000,2019-03-14 23:58:39 +0000,90m,0,,
1.1.1.6,Action,Class Mar 12,,Probability and Statistics,,,2019-03-13 00:00:00 +0000,2019-03-12 22:13:38 +0000,90m,0,,
1.1.1.7,Action,Class Feb-28,,Probability and Statistics,,,,2019-02-28 23:58:36 +0000,90m,0,,
1.1.1.8,Action,Class Mar 7,,Probability and Statistics,,,,2019-03-08 04:11:48 +0000,60m,0,,
1.1.1.9,Action,Organize nodes for Assouad,,Probability and Statistics,,,2019-03-11 00:00:00 +0000,2019-03-10 23:31:25 +0000,90m,0,,
1.1.2,Action,Homeworks,,Probability and Statistics,,,,2019-04-01 07:00:00 +0000,,0,Actual time 2h30m,
1.1.2.1,Action,HW4 - Part 1,,Probability and Statistics,,,2019-03-12 00:00:00 +0000,2019-03-12 06:50:00 +0000,60m,0,,
1.1.2.2,Action,HW4 - Part 2,,Probability and Statistics,,,,2019-03-12 22:14:22 +0000,30m,0,,
1.1.2.3,Action,HW4 - Part 3,,Probability and Statistics,,,2019-03-13 00:00:00 +0000,2019-03-15 06:38:33 +0000,60m,0,,
1.1.3,Action,Reviews,,Probability and Statistics,,,,,780m,0,,
1.1.3.1,Action,Full review,,Probability and Statistics,,,2019-09-16 00:00:00 +0000,,60m,0,,
1.1.3.2,Action,Full review,,Probability and Statistics,,,2019-08-03 00:00:00 +0000,2019-08-04 20:15:58 +0000,60m,0,,
1.1.3.3,Action,Full review 3-2,,Probability and Statistics,,,2019-07-03 00:00:00 +0000,2019-07-04 19:40:56 +0000,60m,0,,
1.1.3.4,Action,Full review 3,,Probability and Statistics,,,2019-07-02 00:00:00 +0000,2019-07-02 06:46:54 +0000,30m,0,,
1.1.3.5,Action,Chapter Reviews,,Probability and Statistics,,,,2019-06-06 03:39:36 +0000,,0,Actual time 8h50m,
1.1.3.5.1,Action,Surrogate Loss,,Probability and Statistics,,,,2019-06-06 03:39:18 +0000,,0,Actual time 50m,
1.1.3.5.1.1,Action,Review 2,,Probability and Statistics,,,,2019-04-02 21:16:43 +0000,20m,0,,
1.1.3.5.1.2,Action,Review 1,,Probability and Statistics,,,2019-03-20 00:00:00 +0000,2019-03-21 22:54:08 +0000,30m,0,,
1.1.3.5.2,Action,Estimation Lower Bound,,Probability and Statistics,,,,2019-06-06 03:39:19 +0000,,0,Actual time 1h20m,
1.1.3.5.2.1,Action,Review 3,,Probability and Statistics,,,,2019-04-02 21:16:32 +0000,20m,0,,
1.1.3.5.2.2,Action,Review 2,,Probability and Statistics,,,2019-03-21 00:00:00 +0000,2019-03-21 23:55:03 +0000,30m,0,,
1.1.3.5.2.3,Action,Review 1,,Probability and Statistics,,,2019-03-20 00:00:00 +0000,2019-03-20 01:55:08 +0000,30m,0,,
1.1.3.5.3,Action,Privacy,,Probability and Statistics,,,,2019-06-06 03:39:19 +0000,,0,Actual time 1h40m,
1.1.3.5.3.1,Action,Review Privacy 5,,Probability and Statistics,,,2019-03-31 00:00:00 +0000,2019-03-30 19:29:58 +0000,10m,0,,
1.1.3.5.3.2,Action,Review Privacy 4,,Probability and Statistics,,,2019-03-22 00:00:00 +0000,2019-03-23 04:23:42 +0000,10m,0,,
1.1.3.5.3.3,Action,Review Privacy 3,,Probability and Statistics,,,2019-03-12 00:00:00 +0000,2019-03-14 17:34:45 +0000,20m,0,,
1.1.3.5.3.4,Action,Review Privacy 1,,Probability and Statistics,,,2019-02-17 01:00:00 +0000,2019-02-22 08:00:00 +0000,30m,0,,
1.1.3.5.3.5,Action,Review Privacy 2,,Probability and Statistics,,,2019-03-11 00:00:00 +0000,2019-03-10 06:43:14 +0000,30m,0,,
1.1.3.5.4,Action,PAC Bayes,,Probability and Statistics,,,,2019-06-06 03:39:20 +0000,,0,Actual time 1h40m,
1.1.3.5.4.1,Action,Review PAC Bayes,,Probability and Statistics,,,2019-03-26 00:00:00 +0000,2019-03-27 08:37:00 +0000,10m,0,,
1.1.3.5.4.2,Action,Review PAC Bayes,,Probability and Statistics,,,2019-03-23 00:00:00 +0000,2019-03-23 04:32:44 +0000,10m,0,,
1.1.3.5.4.3,Action,Review PAC Bayes 3,,Probability and Statistics,,,2019-03-13 00:00:00 +0000,2019-03-14 17:34:44 +0000,10m,0,,
1.1.3.5.4.4,Action,Review PAC Bayes 2,,Probability and Statistics,,,,2019-03-10 06:16:19 +0000,10m,0,,
1.1.3.5.4.5,Action,Review PAC Bayes,,Probability and Statistics,,,2019-03-03 01:00:00 +0000,2019-03-03 07:40:42 +0000,60m,0,,
1.1.3.5.5,Action,Tail Bounds,,Probability and Statistics,,,,2019-06-06 03:39:21 +0000,,0,Actual time 3h20m,
1.1.3.5.5.1,Action,Review Tail bounds 5,,Probability and Statistics,,,2019-03-31 00:00:00 +0000,2019-03-30 19:30:01 +0000,10m,0,,
1.1.3.5.5.2,Action,Review Tail bounds 4,,Probability and Statistics,,,2019-03-22 00:00:00 +0000,2019-03-23 04:37:48 +0000,10m,0,,
1.1.3.5.5.3,Action,Review Tail bounds 1,,Probability and Statistics,,,2019-03-03 01:00:00 +0000,2019-03-03 07:40:40 +0000,60m,0,,
1.1.3.5.5.4,Action,Review Tail bounds 2,,Probability and Statistics,,,2019-03-11 00:00:00 +0000,2019-03-10 06:09:51 +0000,30m,0,,
1.1.3.5.5.5,Action,Review Tail bounds 3,,Probability and Statistics,,,2019-03-13 00:00:00 +0000,2019-03-14 17:29:33 +0000,30m,0,,
1.1.3.6,Action,Full review 1,,Probability and Statistics,,,2019-05-02 00:00:00 +0000,2019-05-09 04:43:02 +0000,60m,0,,
1.1.3.7,Action,Full review 2,,Probability and Statistics,,,2019-06-09 00:00:00 +0000,2019-06-08 21:56:29 +0000,90m,0,,
1.1.3.8,Action,Full review 1,,Probability and Statistics,,,2019-04-13 00:00:00 +0000,2019-04-15 18:46:12 +0000,60m,0,,
1.2,Action,Information Geometry,,Probability and Statistics,,,,,600m,0,"High level objective:

Ensure a deep understanding on fisher information ",
1.2.1,Action,Fisher Information,,Probability and Statistics,,,,,,0,,
1.2.1.1,Action,Review tutorial 2,,Probability and Statistics,,,,,,0,,
1.2.1.2,Action,Review tutorial on Fisher information,,Probability and Statistics,,,2019-06-21 00:00:00 +0000,2019-06-20 05:41:11 +0000,90m,0,,
1.3,Action,Bayesian Statistics,,Probability and Statistics,,,2019-10-02 00:00:00 +0000,,600m,0,"High level objective:

1. participate in reading group

2. organize content of reading group into notes in notability

3. review these notes to ensure memory",
1.3.1,Action,Notes,,Probability and Statistics,,,,,300m,0,,
1.3.1.1,Action,Organize reading group 1 notes,,Probability and Statistics,,,2019-03-07 03:00:00 +0000,2019-03-07 02:02:02 +0000,60m,0,,
1.3.2,Action,Reading Groups,,Probability and Statistics,,,,,600m,0,,
1.3.2.1,Action,Reading Group 1,,Probability and Statistics,,,2019-02-28 01:00:00 +0000,2019-02-28 03:00:35 +0000,120m,0,,
1.3.2.2,Action,Reading Group 2,,Probability and Statistics,,,2019-03-07 01:00:00 +0000,2019-03-07 00:17:10 +0000,120m,0,,
